timestamp,room,zone,occupied
2025-01-01 00:00,Bedroom1,1,1
2025-01-01 00:00,Bedroom2,2,1
2025-01-01 00:00,Bedroom3,2,1
2025-01-01 00:00,Bedroom4,2,1
2025-01-01 00:00,Bedroom5,3,1
2025-01-01 00:00,Bedroom6,3,1
2025-01-01 00:01,Bedroom1,1,1
2025-01-01 00:01,Bedroom2,2,1
2025-01-01 00:01,Bedroom3,2,1
2025-01-01 00:01,Bedroom4,2,1
2025-01-01 00:01,Bedroom5,3,1
2025-01-01 00:01,Bedroom6,3,1
2025-01-01 00:02,Bedroom1,1,1
2025-01-01 00:02,Bedroom2,2,1
2025-01-01 00:02,Bedroom3,2,1
2025-01-01 00:02,Bedroom4,2,1
2025-01-01 00:02,Bedroom5,3,1
2025-01-01 00:02,Bedroom6,3,1
2025-01-01 00:03,Bedroom1,1,1
2025-01-01 00:03,Bedroom2,2,1
2025-01-01 00:03,Bedroom3,2,1
2025-01-01 00:03,Bedroom4,2,1
2025-01-01 00:03,Bedroom5,3,1
2025-01-01 00:03,Bedroom6,3,1
2025-01-01 00:04,Bedroom1,1,1
2025-01-01 00:04,Bedroom2,2,1
2025-01-01 00:04,Bedroom3,2,1
2025-01-01 00:04,Bedroom4,2,1
2025-01-01 00:04,Bedroom5,3,1
2025-01-01 00:04,Bedroom6,3,1
2025-01-01 00:05,Bedroom1,1,1
2025-01-01 00:05,Bedroom2,2,1
2025-01-01 00:05,Bedroom3,2,1
2025-01-01 00:05,Bedroom4,2,1
2025-01-01 00:05,Bedroom5,3,1
2025-01-01 00:05,Bedroom6,3,1
2025-01-01 00:06,Bedroom1,1,1
2025-01-01 00:06,Bedroom2,2,1
2025-01-01 00:06,Bedroom3,2,1
2025-01-01 00:06,Bedroom4,2,1
2025-01-01 00:06,Bedroom5,3,1
2025-01-01 00:06,Bedroom6,3,1
2025-01-01 00:07,Bedroom1,1,1
2025-01-01 00:07,Bedroom2,2,1
2025-01-01 00:07,Bedroom3,2,1
2025-01-01 00:07,Bedroom4,2,1
2025-01-01 00:07,Bedroom5,3,1
2025-01-01 00:07,Bedroom6,3,1
2025-01-01 00:08,Bedroom1,1,1
2025-01-01 00:08,Bedroom2,2,1
2025-01-01 00:08,Bedroom3,2,1
2025-01-01 00:08,Bedroom4,2,1
2025-01-01 00:08,Bedroom5,3,1
2025-01-01 00:08,Bedroom6,3,1
2025-01-01 00:09,Bedroom1,1,1
2025-01-01 00:09,Bedroom2,2,1
2025-01-01 00:09,Bedroom3,2,1
2025-01-01 00:09,Bedroom4,2,1
2025-01-01 00:09,Bedroom5,3,1
2025-01-01 00:09,Bedroom6,3,1
2025-01-01 00:10,Bedroom1,1,1
2025-01-01 00:10,Bedroom2,2,1
2025-01-01 00:10,Bedroom3,2,1
2025-01-01 00:10,Bedroom4,2,1
2025-01-01 00:10,Bedroom5,3,1
2025-01-01 00:10,Bedroom6,3,1
2025-01-01 00:11,Bedroom1,1,1
2025-01-01 00:11,Bedroom2,2,1
2025-01-01 00:11,Bedroom3,2,1
2025-01-01 00:11,Bedroom4,2,1
2025-01-01 00:11,Bedroom5,3,1
2025-01-01 00:11,Bedroom6,3,1
2025-01-01 00:12,Bedroom1,1,1
2025-01-01 00:12,Bedroom2,2,1
2025-01-01 00:12,Bedroom3,2,1
2025-01-01 00:12,Bedroom4,2,1
2025-01-01 00:12,Bedroom5,3,1
2025-01-01 00:12,Bedroom6,3,1
2025-01-01 00:13,Bedroom1,1,1
2025-01-01 00:13,Bedroom2,2,1
2025-01-01 00:13,Bedroom3,2,1
2025-01-01 00:13,Bedroom4,2,1
2025-01-01 00:13,Bedroom5,3,1
2025-01-01 00:13,Bedroom6,3,1
2025-01-01 00:14,Bedroom1,1,1
2025-01-01 00:14,Bedroom2,2,1
2025-01-01 00:14,Bedroom3,2,1
2025-01-01 00:14,Bedroom4,2,1
2025-01-01 00:14,Bedroom5,3,1
2025-01-01 00:14,Bedroom6,3,1
2025-01-01 00:15,Bedroom1,1,1
2025-01-01 00:15,Bedroom2,2,1
2025-01-01 00:15,Bedroom3,2,1
2025-01-01 00:15,Bedroom4,2,1
2025-01-01 00:15,Bedroom5,3,1
2025-01-01 00:15,Bedroom6,3,1
